1691934307.9251015
0 tensor(0.1430, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
10 tensor(0.1340, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
20 tensor(0.1257, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
30 tensor(0.1182, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
40 tensor(0.1113, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
50 tensor(0.1051, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
60 tensor(0.0995, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
70 tensor(0.0943, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
80 tensor(0.0895, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
90 tensor(0.0851, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
100 tensor(0.0809, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
110 tensor(0.0769, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
120 tensor(0.0731, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
130 tensor(0.0694, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
140 tensor(0.0659, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
150 tensor(0.0626, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
160 tensor(0.0594, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
170 tensor(0.0563, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
180 tensor(0.0534, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
190 tensor(0.0506, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
200 tensor(0.0480, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
210 tensor(0.0455, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
220 tensor(0.0432, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
230 tensor(0.0410, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
240 tensor(0.0390, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
250 tensor(0.0371, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
260 tensor(0.0353, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
270 tensor(0.0336, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
280 tensor(0.0321, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
290 tensor(0.0307, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
300 tensor(0.0295, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
