1693919691.0214233
0 tensor(0.5623, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
10 tensor(0.0871, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
20 tensor(0.0396, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
30 tensor(0.0399, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
40 tensor(0.0320, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
50 tensor(0.0320, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
60 tensor(0.0309, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
70 tensor(0.0303, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
80 tensor(0.0300, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
90 tensor(0.0296, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
100 tensor(0.0292, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
110 tensor(0.0289, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
120 tensor(0.0286, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
130 tensor(0.0283, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
140 tensor(0.0281, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
150 tensor(0.0279, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
160 tensor(0.0278, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
170 tensor(0.0277, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
180 tensor(0.0276, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
190 tensor(0.0275, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
200 tensor(0.0275, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
210 tensor(0.0274, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
220 tensor(0.0274, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
230 tensor(0.0273, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
240 tensor(0.0273, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
250 tensor(0.0273, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
260 tensor(0.0272, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
270 tensor(0.0272, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
280 tensor(0.0272, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
290 tensor(0.0272, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
300 tensor(0.0271, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
310 tensor(0.0271, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
320 tensor(0.0271, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
330 tensor(0.0270, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
340 tensor(0.0270, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
350 tensor(0.0270, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
360 tensor(0.0269, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
370 tensor(0.0269, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
380 tensor(0.0268, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
390 tensor(0.0268, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
400 tensor(0.0268, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
410 tensor(0.0267, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
420 tensor(0.0267, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
430 tensor(0.0266, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
