0 tensor(0.2096, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
100 tensor(0.1648, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
200 tensor(0.1340, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
300 tensor(0.1006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
400 tensor(0.0780, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
500 tensor(0.0650, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
600 tensor(0.0571, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
700 tensor(0.0520, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
800 tensor(0.0483, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
900 tensor(0.0456, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1000 tensor(0.0436, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1100 tensor(0.0419, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1200 tensor(0.0403, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1300 tensor(0.0389, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1400 tensor(0.0376, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1500 tensor(0.0364, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1600 tensor(0.0353, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1700 tensor(0.0343, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1800 tensor(0.0332, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1900 tensor(0.0321, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2000 tensor(0.0308, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2100 tensor(0.0291, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2200 tensor(0.0268, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2300 tensor(0.0248, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2400 tensor(0.0234, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2500 tensor(0.0223, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2600 tensor(0.0215, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2700 tensor(0.0207, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2800 tensor(0.0201, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2900 tensor(0.0195, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
3000 tensor(0.0190, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
